s,a
0.00,22.00
1.00,23.50
2.00,25.00
3.00,26.50
4.00,28.00
5.00,29.50
6.00,31.00
7.00,32.50
8.00,34.00
9.00,35.50
10.00,37.00
11.00,38.50
12.00,40.00
13.00,41.50
14.00,43.00
15.00,44.50
16.00,46.00
17.00,47.50
18.00,49.00
19.00,50.50
20.00,52.00
21.00,53.50
22.00,55.00
23.00,56.50
24.00,58.00
25.00,59.50
26.00,61.00
27.00,62.50
28.00,64.00
29.00,65.50
30.00,67.00
31.00,68.50
32.00,70.00
33.00,71.50
34.00,73.00
35.00,74.50
36.00,76.00
37.00,77.50
38.00,79.00
39.00,80.50
40.00,82.00
41.00,83.50
42.00,85.00
43.00,86.50
44.00,88.00
45.00,89.50
46.00,91.00
47.00,92.50
48.00,94.00
49.00,95.50
50.00,97.00
51.00,98.50
52.00,100.00
53.00,101.50
54.00,103.00
55.00,104.50
56.00,106.00
57.00,107.50
58.00,109.00
59.00,110.50
60.00,112.00
61.00,113.50
62.00,115.00
63.00,116.50
64.00,118.00
65.00,119.50
66.00,121.00
67.00,122.50
68.00,124.00
69.00,125.50
70.00,127.00
71.00,128.50
72.00,130.00
73.00,131.50
74.00,133.00
75.00,134.50
76.00,136.00
77.00,137.50
78.00,139.00
79.00,140.50
80.00,142.00
81.00,143.50
82.00,145.00
83.00,146.50
84.00,148.00
85.00,149.50
86.00,151.00
87.00,152.50
88.00,154.00
89.00,155.50
90.00,157.00
91.00,158.50
92.00,160.00
93.00,161.50
94.00,163.00
95.00,164.50
96.00,166.00
97.00,167.50
98.00,169.00
99.00,170.50
