s,a
0.00,24.50
1.00,27.30
2.00,30.10
3.00,32.90
4.00,35.70
5.00,38.50
6.00,41.30
7.00,44.10
8.00,46.90
9.00,49.70
10.00,52.50
11.00,55.30
12.00,58.10
13.00,60.90
14.00,63.70
15.00,66.50
16.00,69.30
17.00,72.10
18.00,74.90
19.00,77.70
20.00,80.50
21.00,83.30
22.00,86.10
23.00,88.90
24.00,91.70
25.00,94.50
26.00,97.30
27.00,100.10
28.00,102.90
29.00,105.70
30.00,108.50
31.00,111.30
32.00,114.10
33.00,116.90
34.00,119.70
35.00,122.50
36.00,125.30
37.00,128.10
38.00,130.90
39.00,133.70
40.00,136.50
41.00,139.30
42.00,142.10
43.00,144.90
44.00,147.70
45.00,150.50
46.00,153.30
47.00,156.10
48.00,158.90
49.00,161.70
50.00,164.50
51.00,167.30
52.00,170.10
53.00,172.90
54.00,175.70
55.00,178.50
56.00,181.30
57.00,184.10
58.00,186.90
59.00,189.70
60.00,192.50
61.00,195.30
62.00,198.10
63.00,200.90
64.00,203.70
65.00,206.50
66.00,209.30
67.00,212.10
68.00,214.90
69.00,217.70
70.00,220.50
71.00,223.30
72.00,226.10
73.00,228.90
74.00,231.70
75.00,234.50
76.00,237.30
77.00,240.10
78.00,242.90
79.00,245.70
80.00,248.50
81.00,251.30
82.00,254.10
83.00,256.90
84.00,259.70
85.00,262.50
86.00,265.30
87.00,268.10
88.00,270.90
89.00,273.70
90.00,276.50
91.00,279.30
92.00,282.10
93.00,284.90
94.00,287.70
95.00,290.50
96.00,293.30
97.00,296.10
98.00,298.90
99.00,301.70
